Id,name,popularity,followers,genres,image,Spotify ID
1,2 Chainz,83,3141364,"hip hop, pop, pop rap, rap, southern hip hop, trap music",17lzZA2AlOHwCwFALHttmp.jpg,17lzZA2AlOHwCwFALHttmp
2,Drake,100,23732186,"canadian hip hop, canadian pop, hip hop, pop rap, rap",3TVXtAsR1Inumwj472S9r4.jpg,3TVXtAsR1Inumwj472S9r4
3,Quavo,84,1819632,,0VRj0yCOv2FXJNP47XQnx5.jpg,0VRj0yCOv2FXJNP47XQnx5
4,Ty Dolla $ign,87,1939644,"pop, pop rap, rap, trap music",7c0XG5cIJTrrAgEC3ULPiq.jpg,7c0XG5cIJTrrAgEC3ULPiq
5,Trey Songz,75,3256433,"dance pop, indie r&b, pop, pop rap, r&b, southern hip hop, urban contemporary",2iojnBLj0qIMiKPvVhLnsH.jpg,2iojnBLj0qIMiKPvVhLnsH
6,Jhene Aiko,75,1765439,"dance pop, indie r&b, pop, pop rap, r&b, rap, urban contemporary",5ZS223C6JyBfXasXxrRqOk.jpg,5ZS223C6JyBfXasXxrRqOk
7,Saudi,61,1560,,37Qsf5KCKljH7mL134xp4k.jpg,37Qsf5KCKljH7mL134xp4k
8,French Montana,81,1810699,"hip hop, pop, pop rap, rap, southern hip hop, trap music",6vXTefBL93Dj5IqAWq6OTv.jpg,6vXTefBL93Dj5IqAWq6OTv
9,Nacho,74,840662,"latin, latin pop, pop, reggaeton, tropical",2ayNSoKPCRAfjp6hQ76hRu.jpg,2ayNSoKPCRAfjp6hQ76hRu
10,Travis Scott,86,3019868,"pop, pop rap, rap, trap music",0Y5tJX1MQlPlqiwlOH1tJY.jpg,0Y5tJX1MQlPlqiwlOH1tJY
11,Gucci Mane,82,2065690,"dirty south rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",13y7CgLHjMVRMDqxdx0Xdo.jpg,13y7CgLHjMVRMDqxdx0Xdo
12,Big Sean,82,4582249,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music",0c173mlxpT3dSFRgMO8XPh.jpg,0c173mlxpT3dSFRgMO8XPh
13,Yo Gotti,74,1846868,"dirty south rap, dwn trap, gangster rap, hip hop, memphis hip hop, pop, pop rap, rap, southern hip hop, trap music",6Ha4aES39QiVjR0L2lwuwq.jpg,6Ha4aES39QiVjR0L2lwuwq
14,Desiigner,71,1959774,"dwn trap, hip hop, pop, pop rap, rap, southern hip hop, trap music",7pFeBzX627ff0VnN6bxPR4.jpg,7pFeBzX627ff0VnN6bxPR4
15,Offset,85,572928,trap music,4DdkRBBYG6Yk9Ka8tdJ9BW.jpg,4DdkRBBYG6Yk9Ka8tdJ9BW
16,YG,79,1221687,"gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",0A0FS04o6zMoto8OKPsDwY.jpg,0A0FS04o6zMoto8OKPsDwY
17,Young Dolph,67,688690,"deep trap, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap music",3HiuzBlSW7pGDXlSFMhO2g.jpg,3HiuzBlSW7pGDXlSFMhO2g
18,21 Savage,84,4526274,"pop, rap, trap music",1URnnhqYAYcrqrcwql10ft.jpg,1URnnhqYAYcrqrcwql10ft
19,Metro Boomin,78,698402,"rap, southern hip hop, trap music",0iEtIxbK0KxaSlF7G42ZOp.jpg,0iEtIxbK0KxaSlF7G42ZOp
20,Future,87,6904802,"pop, pop rap, rap, southern hip hop, trap music",1RyvyyTE3xzB2ZywiAwp0i.jpg,1RyvyyTE3xzB2ZywiAwp0i
21,London On Da Track,58,30195,,5Nf5yishRW9Ye174sJISkg.jpg,5Nf5yishRW9Ye174sJISkg
22,2Pac,77,4332246,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",1ZwdS5xdxEREPySFridCfh.jpg,1ZwdS5xdxEREPySFridCfh
23,Roger,60,37109,funk,3GMoVpWJy4smKuxFuFTwXC.jpg,3GMoVpWJy4smKuxFuFTwXC
24,Dr. Dre,77,3561723,"g funk, gangster rap, hip hop, rap, west coast rap",6DPYiyq5kWVQS4RGwxzPC7.jpg,6DPYiyq5kWVQS4RGwxzPC7
25,Outlawz,60,62386,,2jp3Fk52x0HbymU0lNYbSC.jpg,2jp3Fk52x0HbymU0lNYbSC
26,Digital Underground,54,134966,"funk, gangster rap, hardcore hip hop, hip hop, hip house, rap, west coast rap",7jocoSCuCtpCxCI6IbP8ye.jpg,7jocoSCuCtpCxCI6IbP8ye
27,3 Doors Down,69,1657353,"alternative metal, nu metal, pop punk, pop rock, post-grunge, rap metal",2RTUTCvo6onsAnheUk3aL9.jpg,2RTUTCvo6onsAnheUk3aL9
28,Jack Joseph Puig,50,141,,30I8GIK3UqVyAg58557mdJ.jpg,30I8GIK3UqVyAg58557mdJ
29,311,62,374881,"alternative metal, alternative rock, funk metal, nu metal, pop rock, post-grunge, rock",41Q0HrwWBtuUkJc7C1Rp6K.jpg,41Q0HrwWBtuUkJc7C1Rp6K
30,5 Seconds of Summer,84,3266806,"boy band, pop, post-teen pop",5Rl15oVamLq7FbSb0NNBNy.jpg,5Rl15oVamLq7FbSb0NNBNy
31,6ix9ine,81,1484050,,7gZfnEnfiaHzxARJ2LeXrf.jpg,7gZfnEnfiaHzxARJ2LeXrf
32,DJ SpinKing,68,7034,,1qSJaftSab2kTTsj7fLxvM.jpg,1qSJaftSab2kTTsj7fLxvM
33,Nicki Minaj,89,11775181,"dance pop, hip pop, pop, pop rap",0hCNtLu0JehylgoiP8L4Gh.jpg,0hCNtLu0JehylgoiP8L4Gh
34,Murda Beatz,71,42551,canadian hip hop,3CbYyyd8wH3RT6t0jwpdzC.jpg,3CbYyyd8wH3RT6t0jwpdzC
35,Fetty Wap,76,3139844,"dance pop, dwn trap, pop, pop rap, rap, southern hip hop, trap music",6PXS4YHDkKvl1wkIl4V8DL.jpg,6PXS4YHDkKvl1wkIl4V8DL
36,A Boogie Wit da Hoodie,78,1822956,"pop, rap, southern hip hop, trap music",31W5EY0aAly4Qieq6OFu6I.jpg,31W5EY0aAly4Qieq6OFu6I
37,Tory Lanez,78,1492199,"canadian hip hop, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music",2jku7tDXc6XoB6MO2hFuqg.jpg,2jku7tDXc6XoB6MO2hFuqg
38,Young Thug,82,3069598,"gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap music",50co4Is1HCEo8bhOyUWKpn.jpg,50co4Is1HCEo8bhOyUWKpn
39,6LACK,77,961258,"hip hop, indie r&b, pop, pop rap, rap, trap music",4IVAbR2w4JJNJDDRFP3E83.jpg,4IVAbR2w4JJNJDDRFP3E83
40,Kodak Black,80,3352632,"pop, rap, southern hip hop, trap music",46SHBwWsqBkxI7EeeBEQG7.jpg,46SHBwWsqBkxI7EeeBEQG7
41,PnB Rock,76,1363742,"pop, rap, trap music",21WS9wngs9AqFckK7yYJPM.jpg,21WS9wngs9AqFckK7yYJPM
42,YoungBoy Never Broke Again,79,1201453,trap music,7wlFDEWiM5OoIAt8RSli8b.jpg,7wlFDEWiM5OoIAt8RSli8b
43,A Day To Remember,68,1210901,"metalcore, pop punk, rap metal, screamo",4NiJW4q9ichVqL1aUsgGAN.jpg,4NiJW4q9ichVqL1aUsgGAN
44,A Perfect Circle,65,655552,"alternative metal, alternative rock, modern rock, nu metal, post-grunge, rap metal, rock",4DFhHyjvGYa9wxdHUjtDkc.jpg,4DFhHyjvGYa9wxdHUjtDkc
45,A Thousand Horses,44,53500,"contemporary country, country road, lift kit, modern country rock",55RI2GNCfyXr0f14uIdhwd.jpg,55RI2GNCfyXr0f14uIdhwd
46,A Tribe Called Quest,66,787817,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, jazz rap, pop rap, rap",09hVIj6vWgoCDtT03h8ZCa.jpg,09hVIj6vWgoCDtT03h8ZCa
47,A$AP Ferg,77,1417263,"hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop",5dHt1vcEm9qb8fCyLcB3HL.jpg,5dHt1vcEm9qb8fCyLcB3HL
