Source	Target	Type	Weight	8	12	10	6	7	weight	timeset	19	9	id	13	11	label	16	14	15	18	17
17lzZA2AlOHwCwFALHttmp	0hCNtLu0JehylgoiP8L4Gh	0	2.0	Undirected	Nicki Minaj	2	1	33	2.0	null	day	23121	0	10571	2 Chainz	null	true	2RM4jf1Xa9zPgMGRDiht8O	Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj	25/05/2018	85
17lzZA2AlOHwCwFALHttmp	1sBkRIssrMs1AbVkOJbc7a	0	2.0	Undirected	Rick Ross	2	1	675	2.0	null	day	21681	1	9547	2 Chainz	null	true	0LFcFGLYTX6UmeIdO7NVd7	Ali Bomaye	11/12/2012	63
17lzZA2AlOHwCwFALHttmp	0NbfKEOTQCcwd6o7wSDOHI	0	2.0	Undirected	The Game	2	1	1998	2.0	null	day	21680	2	9547	2 Chainz	null	true	0LFcFGLYTX6UmeIdO7NVd7	Ali Bomaye	11/12/2012	63
17lzZA2AlOHwCwFALHttmp	5ndkK3dpZLKtBklKjxNQwT	0	2.0	Undirected	B.o.B	2	1	223	2.0	null	day	21337	3	9288	2 Chainz	null	true	0kIHfcHGFGm5xb0dSlKEdp	Hood Go Crazy	04/05/2015	64
17lzZA2AlOHwCwFALHttmp	1pPmIToKXyGdsCF6LmqLmI	0	2.0	Undirected	Rich The Kid	2	1	869	2.0	null	day	19593	4	8202	2 Chainz	null	true	1vnsGFNWNANWMg0CAeMkl2	Plug Walk (feat. Gucci Mane, YG, 2Chainz) - Remix	20/06/2018	78
17lzZA2AlOHwCwFALHttmp	3wyVrVrFCkukjdVIdirGVY	0	2.0	Undirected	Lil Pump	2	1	381	2.0	null	day	15840	5	6013	2 Chainz	null	true	1c5Lbn9mYwNYbnNiizw6D0	Iced Out (feat. 2 Chainz)	06/10/2017	71
17lzZA2AlOHwCwFALHttmp	540vIaP2JwjQb9dm3aArA4	0	2.0	Undirected	DJ Snake	2	1	756	2.0	null	day	15800	6	5992	2 Chainz	null	true	6h5yOjQNDaLZ0rW2OGoXTB	Turn Down for What - Official Remix	19/05/2014	52
17lzZA2AlOHwCwFALHttmp	5gCRApTajqwbnHHPbr2Fpi	0	4.0	Undirected	Juicy J	4	1	54	4.0	null	day	13679	7	5992	2 Chainz	null	true	6h5yOjQNDaLZ0rW2OGoXTB	Turn Down for What - Official Remix	19/05/2014	52
17lzZA2AlOHwCwFALHttmp	4yBK75WVCQXej1p04GWqxH	0	2.0	Undirected	Jeezy	2	1	323	2.0	null	day	11262	8	4680	2 Chainz	null	true	2JJ5h2I1S0UR4tyD0U1I7K	R.I.P.	05/02/2013	54
17lzZA2AlOHwCwFALHttmp	3KV3p5EY4AvKxOlhGHORLg	0	2.0	Undirected	Jeremih	2	1	342	2.0	null	day	7227	9	2848	2 Chainz	null	true	39qSXklPEyvZRzMwU1yZkg	My Moment (feat. 2 Chainz, Meek Mill and Jeremih)	02/10/2012	47
17lzZA2AlOHwCwFALHttmp	20sxb77xiYeusSH8cVdatc	0	2.0	Undirected	Meek Mill	2	1	750	2.0	null	day	7226	10	2848	2 Chainz	null	true	39qSXklPEyvZRzMwU1yZkg	My Moment (feat. 2 Chainz, Meek Mill and Jeremih)	02/10/2012	47
17lzZA2AlOHwCwFALHttmp	0fA0VVWsXO9YnASrzqfmYu	0	2.0	Undirected	Kid Cudi	2	1	71	2.0	null	day	6290	11	2313	2 Chainz	null	true	51oVwsllGkGySCLW6inIXE	The Morning	01/01/2012	54
17lzZA2AlOHwCwFALHttmp	1l7ZsJRRS8wlW3WfJfPfNS	0	2.0	Undirected	Christina Aguilera	2	1	545	2.0	null	day	5796	12	2128	2 Chainz	null	true	0iSDDumvHTzv6we9Yr1HzY	Accelerate	15/06/2018	61
17lzZA2AlOHwCwFALHttmp	55Aa2cqylxrFIXC767Z865	0	4.0	Undirected	Lil Wayne	4	1	285	4.0	null	day	3874	13	5216	2 Chainz	null	true	7EZPH9Px3gXlxD5KJDwtwc	Bandz A Make Her Dance	23/08/2013	64
17lzZA2AlOHwCwFALHttmp	1anyVhU62p31KFi8MEzkbf	0	2.0	Undirected	Chance the Rapper	2	1	87	2.0	null	day	3873	14	1897	2 Chainz	null	true	0v9Wz8o0BT8DU38R4ddjeH	No Problem (feat. Lil Wayne & 2 Chainz)	27/05/2016	77
17lzZA2AlOHwCwFALHttmp	2YZyLoL8N0Wb9xBt1NhZWg	0	2.0	Undirected	Kendrick Lamar	2	1	68	2.0	null	day	566	15	153	2 Chainz	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
17lzZA2AlOHwCwFALHttmp	13ubrt8QOOCPljQ2FL1Kca	0	2.0	Undirected	A$AP Rocky	2	1	48	2.0	null	day	564	16	153	2 Chainz	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
17lzZA2AlOHwCwFALHttmp	0A0FS04o6zMoto8OKPsDwY	0	6.0	Undirected	YG	6	1	16	6.0	null	day	100	17	10571	2 Chainz	null	true	2RM4jf1Xa9zPgMGRDiht8O	Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj	25/05/2018	85
17lzZA2AlOHwCwFALHttmp	7pFeBzX627ff0VnN6bxPR4	0	2.0	Undirected	Desiigner	2	1	14	2.0	null	day	65	18	6	2 Chainz	null	true	2nBI3iWLhupR7LyAJ5GGkE	Champions	10/06/2016	71
17lzZA2AlOHwCwFALHttmp	6Ha4aES39QiVjR0L2lwuwq	0	4.0	Undirected	Yo Gotti	4	1	13	4.0	null	day	63	19	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	0c173mlxpT3dSFRgMO8XPh	0	8.0	Undirected	Big Sean	8	1	12	8.0	null	day	61	20	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	13y7CgLHjMVRMDqxdx0Xdo	0	10.0	Undirected	Gucci Mane	10	1	11	10.0	null	day	60	21	10600	2 Chainz	null	true	430Bl42cdlGIWqagDm38sc	Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)	20/10/2017	58
17lzZA2AlOHwCwFALHttmp	5K4W6rqBFWDnAN6FQUkS6x	0	6.0	Undirected	Kanye West	6	1	841	6.0	null	day	59	22	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	0Y5tJX1MQlPlqiwlOH1tJY	0	4.0	Undirected	Travis Scott	4	1	10	4.0	null	day	36	23	6	2 Chainz	null	true	2nBI3iWLhupR7LyAJ5GGkE	Champions	10/06/2016	71
17lzZA2AlOHwCwFALHttmp	6vXTefBL93Dj5IqAWq6OTv	0	4.0	Undirected	French Montana	4	1	8	4.0	null	day	28	24	5992	2 Chainz	null	true	6h5yOjQNDaLZ0rW2OGoXTB	Turn Down for What - Official Remix	19/05/2014	52
17lzZA2AlOHwCwFALHttmp	1mXAhKnZEdF6rotyyd4GBi	0	2.0	Undirected	MC Kevinho	2	1	1500	2.0	null	day	27	25	4	2 Chainz	null	false	5RBW30fFFVav2n0IqFj0fY	Olha A Explosão - Remix	27/04/2018	77
17lzZA2AlOHwCwFALHttmp	5IcR3N7QB1j6KBL8eImZ8m	0	2.0	Undirected	ScHoolboy Q	2	1	50	2.0	null	day	20	26	3	2 Chainz	null	true	4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	09/02/2018	78
17lzZA2AlOHwCwFALHttmp	5ZS223C6JyBfXasXxrRqOk	0	2.0	Undirected	Jhene Aiko	2	1	6	2.0	null	day	8	27	2	2 Chainz	null	true	6H0AwSQ20mo62jGlPGB8S6	It's A Vibe	16/06/2017	78
17lzZA2AlOHwCwFALHttmp	2iojnBLj0qIMiKPvVhLnsH	0	2.0	Undirected	Trey Songz	2	1	5	2.0	null	day	7	28	2	2 Chainz	null	true	6H0AwSQ20mo62jGlPGB8S6	It's A Vibe	16/06/2017	78
17lzZA2AlOHwCwFALHttmp	7c0XG5cIJTrrAgEC3ULPiq	0	6.0	Undirected	Ty Dolla $ign	6	1	4	6.0	null	day	6	29	10600	2 Chainz	null	true	430Bl42cdlGIWqagDm38sc	Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)	20/10/2017	58
17lzZA2AlOHwCwFALHttmp	0VRj0yCOv2FXJNP47XQnx5	0	8.0	Undirected	Quavo	8	1	3	8.0	null	day	1	30	10585	2 Chainz	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
17lzZA2AlOHwCwFALHttmp	3TVXtAsR1Inumwj472S9r4	0	4.0	Undirected	Drake	4	1	2	4.0	null	day	0	31	153	2 Chainz	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
