name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
Nina Kraviz,0.0,0.06331812929386152,0.0,1,15,3.8316878901330505e-07,870.2515179264906,6,6.636132161020122e-05,1oZmFNkGAT93yD1xX4vTRE,2,1A 2B 3A 4A
Kodak Black,0.0012427722232403473,0.11418683840644239,0.12333333333333334,27,13,0.10174035457950047,1715.9263902764146,228,0.0005057640771312048,46SHBwWsqBkxI7EeeBEQG7,0,1A 2B 3A 4A
The Waikikis,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,5q0Noqo1xez13qMUVAuO6D,1,1A 2A 3A 4A
"Tom Russell and Katy Moffett with Andrew Hardin, Rosie Flores",0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,7iFLUM3KWeNmovIda6VMoE,1,1A 2A 3A 4A
Dennis McCarthy,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,0LzOTqAYfLa6nwqaMZO4FA,1,1A 2A 3A 4A
Caater,0.0,0.0003212125774799869,0.0,1,2,2.4581118410067648e-11,4.5,4,2.69488135842672e-05,73cwKuHtvGzXIWHAtt4QzB,1,1A 2A 3A 4A
Love Song,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,3Y1ASx2QdKxBPsJuv3Pi9j,1,1A 2A 3A 4A
Aylen,0.0,0.08967081764715804,0.0,1,13,0.0002753816002968893,1258.9038433788849,2,2.4318107824497096e-05,4wpBiKRE0IAmXBPIqrwrKI,4,1A 2B 3A 4A
The UMC's,0.0,0.07154621444641426,0.0,1,15,1.0352739326663787e-05,996.8875985125569,4,3.227912643043304e-05,5A9hqRsPjYVEmUrnyghqmI,5,1A 2B 3A 4A
Moneybagg Yo,0.0010549152437571716,0.1045595270017193,0.09941520467836257,21,13,0.04525698924073362,1547.089160839199,384,0.0006776345261753057,3tJoFztHeIJkJWMrx0td2f,0,1A 2B 3A 4A
The Van Burens,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,6J1Sb5P2UB2lA9TLMDAifo,1,1A 2A 3A 4A
Azizi Gibson,0.0,0.09569734462768917,0.0,1,14,0.0072683419743244295,1390.7613025863448,2,2.150440536048452e-05,2NjfafEappzvGGGDdMRJMP,4,1A 2B 3A 4A
Jase Oliver,0.0,0.07500040111222826,0.0,1,15,2.6115177427158628e-05,1046.9417832167517,2,3.1549115275651484e-05,7fxbmiv7rzVbq6z5TgBvvx,5,1A 2B 3A 4A
Mario Lo Gudice,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,4Zhz75xvjhiFhpF4Ym7SAQ,1,1A 2A 3A 4A
